Titulo,Sinopsis,Año,Duracion,Url
Repugnante,"Un oficial de policía drogadicto planea arruinar las posibilidades de ascenso de sus colegas por cualquier medio, incluyendo contar secretos y seducir a sus esposas. Basado en la novela de Irvine Welsh.",2014,97 MIN,https://www.starz.com/ar/es/movies/repugnante-52012
Pasión inocente,"Megan, una esposa y madre, decide que la familia debe acoger a la estudiante de intercambio, Sophie.",2014,97 MIN,https://www.starz.com/ar/es/movies/pasi%C3%B3n-inocente-52225
47 Ronin,"Después de que un traicionero caudillo mate a su señor y los destierre, 47 intrépidos samuráis juran vengarse y recobrar el honor de los suyos.",2013,118 MIN,https://www.starz.com/ar/es/movies/47-ronin-52304
La cabaña,"A raíz de una tragedia personal, Mackenzie Allen Phillips recibe una nota misteriosa invitándolo a “La cabaña.” Mack acude y se ve envuelto en la catarsis de redescubrir la verdad sobre el amor, la esperanza, la pérdida y el perdón.",2017,132 MIN,https://www.starz.com/ar/es/movies/la-caba%C3%B1a-57174
Oscura seducción,"Una cirujana plástica exitosa se embarca en una aventura apasionada con un enfermero, solo para descubrir el lado oscuro de su personalidad que alcanza niveles aterradores cuando ella se ve obligada a terminar su relación.",2011,89 MIN,https://www.starz.com/ar/es/movies/oscura-seducci%C3%B3n-60743
Extraordinario,"Tanto su familia como sus compañeros de clases y la comunidad en general luchan por encontrar la compasión y la aceptación, el extraordinario viaje de Auggie los unirá y les probará que no puedes mezclarte cuando naciste para sobresalir.",2017,113 MIN,https://www.starz.com/ar/es/movies/extraordinario-62071
El Karate Kid,"Un adolescente aprende sobre la vida, la amistad y el coraje bajo la guía de un maestro de artes marciales.",1984,126 MIN,https://www.starz.com/ar/es/movies/el-karate-kid-6462
Dune,Ésta es la saga del guerrero Intergaláctico Paul Atreides y su ascenso mesiánico para conducir a su pueblo en su lucha por la supervivencia.,1984,136 MIN,https://www.starz.com/ar/es/movies/dune-6612
Whiplash: Música y obsesión,"El objetivo de Andrew Neiman, un joven y ambicioso baterista de jazz, es triunfar en el elitista Conservatorio de Música de la Costa Este en el que estudia. Marcado por el fracaso de la carrera literaria de su padre, Andrew alberga sueños de grandeza.",2014,106 MIN,https://www.starz.com/ar/es/movies/whiplash-m%C3%BAsica-y-obsesi%C3%B3n-23791
El duende 2,"Hace mil años, un duende malvado se frustra al intentar atrapar a una joven novia. Ahora, en 1994 en Los Ángeles, el duende está decidido a tomar a la hermosa descendiente de la mujer como su novia y dejará un rastro de carnicería haciéndolo.",1994,85 MIN,https://www.starz.com/ar/es/movies/el-duende-2-25250
Dulce venganza 2,"Del director de la aclamada remake del 2010, este nuevo episodio impactante muestra a una modelo brutalizada que sobrevive para buscar su venganza. Protagonizada por Jemma Dallender y Joe Absolom.",2013,106 MIN,https://www.starz.com/ar/es/movies/dulce-venganza-2-25826
The Grudge 2,Una joven mujer (Amber Tamblyn) descubre una terrible maldición mientras busca a su hermana (Sarah Michelle Gellar) desaparecida en Tokio.,2006,102 MIN,https://www.starz.com/ar/es/movies/the-grudge-2-29251
El grito,Karen es una enfermera estadounidense que vive en Tokio y está expuesta a una misteriosa maldición sobrenatural. La maldición es un espíritu vengativo que posee a una persona en una rabia poderosa antes de reclamar su vida.,2004,91 MIN,https://www.starz.com/ar/es/movies/el-grito-29285
Los mensajeros,"Una siniestra oscuridad invade una serena granja de girasoles en Dakota del Norte, y la familia Solomon está destrozada por la sospecha, el caos y el asesinato.",2007,90 MIN,https://www.starz.com/ar/es/movies/los-mensajeros-29666
Jerry Maguire: Amor y desafio,"Tom Cruise hace su mejor actuación hasta la fecha (Neil Rosen, NY-1) como representante deportivo que de repente descubre sus escrúpulos y en consecuencia pierde su trabajo.",1996,138 MIN,https://www.starz.com/ar/es/movies/jerry-maguire-amor-y-desafio-29696
Halloween II,"El desquiciado asesino Michael Myers regresa, y está mucho más decidido a asesinar a Laurie Strode. Mientras tanto, ella intenta descubrir la verdad de sus ansias de matarla, y finalmente descubre un secreto impactante.",1981,92 MIN,https://www.starz.com/ar/es/movies/halloween-ii-29934
¿Conocen a Joe Black?,"Bill es un amoroso padre y un honesto hombre de negocios que jamás ha pensado en la muerte hasta que una mañana, se le aparece para cumplir lo inevitable.",1998,180 MIN,https://www.starz.com/ar/es/movies/conocen-a-joe-black-30190
A conseguir trabajo,"Cuando Will se queda sin trabajo y a Jillian la despiden, la joven pareja y sus amigos deben soportar la humillación pública, novatadas y pruebas de dopaje sorpresa para poder iniciar sus carreras como principiantes.",2016,82 MIN,https://www.starz.com/ar/es/movies/a-conseguir-trabajo-30233
No Hay Nada Como las Fiestas,Los distantes miembros de la familia Rodriguez se unen en la casa de sus padres para enfrentar lo que podría ser su última Navidad juntos en esta conmovedora comedia navideña.,2008,98 MIN,https://www.starz.com/ar/es/movies/no-hay-nada-como-las-fiestas-31681
La redada,"En el corazón de la poblada ciudad de Jakarta está el escondite de una pandilla de traficantes. Antes de amanecer un escuadrón de S.W.A.T llega para atrapar al líder, pero cuando la noticia de la redada se esparce, los habitantes del edificio no se detendrán para impedir el asalto y el escuadrón deberá encontrar la salida en la misión más mortal que jamás hayan tenido",2012,101 MIN,https://www.starz.com/ar/es/movies/la-redada-34897
Ali,"Basada en la vida del tan controvertido, pero indiscutiblemente electrizante boxeador, Muhammad Ali.",2001,156 MIN,https://www.starz.com/ar/es/movies/ali-37309
2012,"El mundo se enfrenta a una catástrofe de proporciones apocalípticas, las ciudades quedan destruidas y los continentes se desmoronan. En el año 2012 llega el fin del mundo y la heroica lucha de los supervivientes.",2009,157 MIN,https://www.starz.com/ar/es/movies/2012-37333
Enemigo invisible,"La coronel Katherine Powell dirige una misión secreta de drones para capturar a un grupo de terroristas que vive en una casa de seguridad en Narobi, Kenia. La situación escala de nivel cuando el piloto del drone se dirige a atacar se percata que una niña de 9 años entra en la zona de muerte. Powell contacta a sus superiores para tomar la dificil desición de seguir o detener la operación.",2016,102 MIN,https://www.starz.com/ar/es/movies/enemigo-invisible-38259
Llámame Por Tu Nombre,"A mediados del esplendoroso verano de 1980 en Italia, Elio y Oliver descubren el maravilloso despertar del deseo que cambiara sus vidas por siempre.",2017,131 MIN,https://www.starz.com/ar/es/movies/ll%C3%A1mame-por-tu-nombre-38894
De Tyler Perry: Las niñas de papá,"Una historia opuesta a la de Cenicienta, en la que una exitosa abogada (Union) se enamora de un mecánico (Elba) con problemas financieros y padre soltero de tres niñas.",2007,100 MIN,https://www.starz.com/ar/es/movies/de-tyler-perry-las-ni%C3%B1as-de-pap%C3%A1-39528
Belly,Dos mafiosos tienen una epifanía.,1998,95 MIN,https://www.starz.com/ar/es/movies/belly-39540
Anna Karenina,"La historia explora con fuerza la capacidad de amar del corazón humano. Anna (Knightley) duda de su felicidad y de su matrimonio, y los cambios se suceden a su alrededor.",2012,129 MIN,https://www.starz.com/ar/es/movies/anna-karenina-41102
Open Water,"Dan y Susan están extáticos de estar finalmente en sus tan anticipadas vacaciones tropicales en el Caribe. Sin embargo, después de un error cometido por el personal de su barco, la pareja se queda sola en medio del océano, y su terrible experiencia pronto se convierte en una pesadilla cuando los tiburones comienzan a aparecer. Inspirada en una historia real.",2003,79 MIN,https://www.starz.com/ar/es/movies/open-water-41557
Baile caliente,"En 1963, Baby, de 17 años está de vacaciones con su familia en un centro turístico de la montaña cuando se siente atraída a los cuarteles del personal y su agitada música. Allí conoce a Johnny y se enamoran a pesar de las advertencias de todos.",1987,100 MIN,https://www.starz.com/ar/es/movies/baile-caliente-43805
Jane Eyre,"Cuando la institutriz huérfana Jane Eyre Mia Wasikowska) llega al imponente Thornfield Hall, queda fascinada por su meditabundo y rico empleador, Rochester (Michael Fassbender).",2011,120 MIN,https://www.starz.com/ar/es/movies/jane-eyre-43870
Una esposa de mentira,Un hombre recurre a una mujer y a sus hijos para conquistar a la mujer de sus sueños.,2011,116 MIN,https://www.starz.com/ar/es/movies/una-esposa-de-mentira-44132
Rápido y fogoso,"Un adolescente desesperado por perder su virginidad convence a sus amigos de ir en un viaje por carretera con él para conocer a una chica que conoció en línea, pero el viaje pronto resulta en una serie de contratiempos hilarantes.",2008,109 MIN,https://www.starz.com/ar/es/movies/r%C3%A1pido-y-fogoso-44850
Noche de brujas,"En Halloween, Michael Myers aterroriza a una adolescente y sus amigos.",1978,91 MIN,https://www.starz.com/ar/es/movies/noche-de-brujas-46437
Cubos,"Un grupo de seis completos extraños, de personalidades y orígenes muy variados, son puestos involuntariamente en un laberinto interminable que contiene trampas mortales. Sin recordar cómo llegaron al laberinto, deben encontrar una salida.",1997,90 MIN,https://www.starz.com/ar/es/movies/cubos-47298
Hombres De Negro,"HOMBREHOMBRES DE NEGRO sigue las peripecias de los agentes K y J, miembros de una organización ultrasecreta establecida para monitorear la actividad alienígena en la Tierra.",1997,97 MIN,https://www.starz.com/ar/es/movies/hombres-de-negro-47625
Capitán Phillips,El capitán Richard Phillips intenta escapar de piratas armados somalíes mientras que la Marina de los Estados Unidos trata de rescatarlo.,2013,134 MIN,https://www.starz.com/ar/es/movies/capit%C3%A1n-phillips-47783
American Pie: Tu primera vez,"¡Jamás volverá a ver un pastel de manzana igual! ""American Pie"" es una visión histérica de la meta de cuatro amigos de secundaria ""desafortunados en el amor"" que hacen el pacto final: perder la virginidad la noche del baile de graduación.",1999,95 MIN,https://www.starz.com/ar/es/movies/american-pie-tu-primera-vez-48724
Laws Of Attraction,"Dos exitosos abogados rivales de Nueva York se enamoran, a pesar de sostener una batalla en dos casos de divorcio.",2004,90 MIN,https://www.starz.com/ar/es/movies/laws-of-attraction-49225
Al borde del abismo,"Un ex policía, recientemente liberado de prisión, está parado en la cornisa de un edificio, amenazando con saltar. Mientras tanto, un enorme robo de joyas se está llevando a cabo cerca ¿hay más en la historia de lo que se ve a simple vista?",2012,102 MIN,https://www.starz.com/ar/es/movies/al-borde-del-abismo-49297
